,0,1,2,3
3156,DB00344,DB00679,2.947047233581543,1
6583,DB00344,DB00715,2.6416029930114746,1
20602,DB00319,DB00684,2.640576124191284,1
6017,DB00307,DB00813,2.5976710319519043,1
21854,DB16097,DB11798,2.5929348468780518,0
18714,DB00413,DB00490,2.5885539054870605,1
17459,DB00921,DB01236,2.5854475498199463,1
6283,DB00363,DB06700,2.5632240772247314,1
22197,DB06934,DB14868,2.5234689712524414,0
18486,DB00956,DB08820,2.48452091217041,1
1505,DB00998,DB01618,2.4794373512268066,1
6076,DB00952,DB01624,2.4631056785583496,1
16756,DB06717,DB06772,2.4603071212768555,1
21454,DB00765,DB01114,2.4578912258148193,1
21718,DB08795,DB04267,2.4506940841674805,0
3748,DB01082,DB01212,2.4433653354644775,1
3343,DB01264,DB09049,2.4431049823760986,1
23234,DB16619,DB00628,2.4357573986053467,0
20047,DB00176,DB04272,2.4353489875793457,1
2565,DB01201,DB06212,2.424788236618042,1
8043,DB12522,DB12228,2.4171552658081055,0
5930,DB00582,DB06702,2.415411949157715,1
1338,DB01577,DB09065,2.413072109222412,1
7913,DB08772,DB07407,2.4095282554626465,0
2770,DB00334,DB01589,2.4073081016540527,1
19395,DB04908,DB08933,2.4025964736938477,1
17049,DB01050,DB09295,2.3967196941375732,1
21153,DB00193,DB00999,2.3922715187072754,1
1455,DB00263,DB08907,2.388289451599121,1
6317,DB00295,DB05271,2.385316848754883,1
21003,DB00834,DB04868,2.375556230545044,1
7985,DB06272,DB15167,2.3731563091278076,0
19256,DB00651,DB00801,2.3587646484375,1
180,DB00364,DB01026,2.3552134037017822,1
18304,DB04817,DB08889,2.350726842880249,1
19541,DB00476,DB00695,2.3482532501220703,1
63,DB01017,DB06153,2.345381259918213,1
3415,DB08826,DB11126,2.3446102142333984,1
1650,DB01110,DB01124,2.3395915031433105,1
18693,DB00564,DB08881,2.3380141258239746,1
1534,DB00316,DB00988,2.337559700012207,1
6754,DB01241,DB12491,2.3363122940063477,0
6716,DB00901,DB15086,2.33162522315979,0
4046,DB00852,DB00988,2.330073356628418,1
117,DB01259,DB06589,2.328519821166992,1
5262,DB00215,DB01182,2.325207471847534,1
2421,DB00723,DB00852,2.3165276050567627,1
2799,DB00977,DB06201,2.3118157386779785,1
21460,DB06700,DB09042,2.310666084289551,1
3610,DB00266,DB08816,2.3043782711029053,1
7087,DB05973,DB03272,2.2962255477905273,0
5157,DB00347,DB00358,2.2939791679382324,1
2225,DB06723,DB08934,2.290541648864746,1
16839,DB00857,DB01238,2.2872564792633057,1
22324,DB12377,DB06329,2.282562255859375,0
20142,DB00850,DB01151,2.2769758701324463,1
22480,DB08933,DB00805,2.2766308784484863,0
4919,DB00452,DB00512,2.273336887359619,1
3551,DB00739,DB01017,2.27136492729187,1
6839,DB05377,DB04629,2.2592859268188477,0
3803,DB01256,DB09054,2.253527879714966,1
2590,DB00841,DB01255,2.253420352935791,1
4029,DB00622,DB00675,2.245332717895508,1
5642,DB00422,DB01174,2.238607406616211,1
19090,DB01613,DB06237,2.238010883331299,1
21143,DB01030,DB05294,2.2360804080963135,1
17438,DB00318,DB00482,2.235785722732544,1
4581,DB00182,DB00470,2.2357490062713623,1
6422,DB00204,DB00261,2.233849048614502,1
17069,DB00921,DB01254,2.233186721801758,1
8221,DB13167,DB07792,2.230287551879883,0
